//	extraxted from http://norvig.com/mayzner.html
//	more at http://storage.googleapis.com/books/ngrams/books/datasetsv2.html

DH	0.00005	153,344,431
EH	0.00026	742,240,059
FH	0.00000	5,166,165
GH	0.00228	6,414,827,751
HH	0.00001	14,730,425
IH	0.00002	58,966,344
JH	0.00000	3,541,869
KH	0.00003	89,811,517
LH	0.00002	45,643,026
MH	0.00001	15,033,898
NH	0.00011	306,883,963
OH	0.00021	602,121,281
PH	0.00094	2,661,480,326
QH	0.00000	263,509
RH	0.00015	426,095,630
SH	0.00315	8,888,705,287
TH	3.556	100,272,945,963
UH	0.00001	30,097,154
VH	0.00000	2,691,078
WH	0.00379	10,680,697,684
XH	0.00004	117,618,666
YH	0.00001	14,682,887
ZH	0.00001	18,782,710

AI	0.00316	8,922,759,715
BI	0.00107	3,005,679,357
CI	0.00281	7,936,922,442
DI	0.00493	13,899,990,598
EI	0.00183	5,169,898,489
FI	0.00285	8,024,355,222
GI	0.00152	4,275,639,800
HI	0.00763	21,520,845,924
II	0.00023	642,384,029
JI	0.00003	77,899,882
KI	0.00098	2,759,841,743
LI	0.00624	17,604,626,629
MI	0.00318	8,957,825,538
NI	0.00339	9,564,648,232
OI	0.00088	2,474,275,212
PI	0.00123	3,470,838,749
QI	0.00000	8,954,617
RI	0.00728	20,516,398,905
SI	0.00550	15,509,759,748
TI	1.343	37,856,196,209
UI	0.00101	2,852,182,384
VI	0.00270	7,600,241,898
WI	0.00374	10,557,401,491
XI	0.00039	1,111,463,633
YI	0.00029	812,619,095
ZI	0.00012	341,671,190

AJ	0.00012	331,384,552
BJ	0.00023	654,853,039
CJ	0.00000	2,962,048
DJ	0.00005	134,832,736
EJ	0.00005	128,194,584
FJ	0.00000	2,065,436
GJ	0.00000	1,093,028
HJ	0.00000	1,282,370
IJ	0.00001	31,324,465
JJ	0.00000	2,979,950
KJ	0.00000	3,471,162
LJ	0.00000	3,169,833
MJ	0.00000	2,923,325
NJ	0.00011	312,598,990
OJ	0.00007	196,696,657
PJ	0.00000	2,810,773
QJ	0.00000	236,928
RJ	0.00001	15,598,009
SJ	0.00000	7,621,847
TJ	0.00000	3,169,658
UJ	0.00001	14,548,024
VJ	0.00000	724,370
WJ	0.00000	914,179
XJ	0.00000	511,074
YJ	0.00000	561,334
ZJ	0.00000	309,029

AK	0.00105	2,952,167,845
BK	0.00000	2,639,491
CK	0.00118	3,316,660,134
DK	0.00000	9,494,027
EK	0.00016	464,449,289
FK	0.00000	3,293,208
GK	0.00000	7,338,894
HK	0.00000	6,595,610
IK	0.00043	1,209,994,695
JK	0.00000	1,740,133
KK	0.00000	12,782,664
LK	0.00020	555,883,002
MK	0.00000	3,956,883
NK	0.00052	1,455,100,124
OK	0.00064	1,813,376,076
PK	0.00001	23,099,462
QK	0.00000	0
RK	0.00097	2,736,041,446
SK	0.00039	1,112,771,273
TK	0.00000	13,081,991
UK	0.00005	129,819,900
VK	0.00000	337,545
WK	0.00001	30,095,733
XK	0.00000	281,255
YK	0.00000	9,292,584
ZK	0.00000	906,537

AL	1.087	30,662,410,438
BL	0.00233	6,581,097,936
CL	0.00149	4,201,617,719
DL	0.00032	911,886,482
EL	0.00530	14,952,716,079
FL	0.00065	1,830,098,844
GL	0.00061	1,709,752,272
HL	0.00013	355,049,620
IL	0.00432	12,167,821,320
JL	0.00000	3,192,327
KL	0.00011	298,033,281
LL	0.00577	16,257,360,474
ML	0.00005	129,888,836
NL	0.00064	1,798,491,132
OL	0.00365	10,305,660,447
PL	0.00263	7,415,349,106
QL	0.00000	6,708,919
RL	0.00086	2,432,373,251
SL	0.00056	1,575,646,777
TL	0.00098	2,775,935,006
UL	0.00346	9,751,225,781
VL	0.00000	11,621,019
WL	0.00015	429,185,823
XL	0.00001	16,728,256
YL	0.00015	416,082,307
ZL	0.00001	35,456,851

AM	0.00285	8,032,259,916
BM	0.00003	88,228,719
CM	0.00003	75,144,874
DM	0.00018	512,522,701
EM	0.00374	10,536,054,813
FM	0.00001	19,340,776
GM	0.00010	277,966,576
HM	0.00013	359,316,447
IM	0.00318	8,959,759,181
JM	0.00000	3,659,540
KM	0.00002	50,449,220
LM	0.00023	649,112,313
MM	0.00096	2,708,822,249
NM	0.00028	782,441,941
OM	0.00546	15,402,602,484
PM	0.00016	449,910,017
QM	0.00000	989,868
RM	0.00175	4,938,158,020
SM	0.00065	1,838,392,669
TM	0.00026	746,621,025
UM	0.00138	3,901,923,211
VM	0.00000	3,178,223
WM	0.00001	30,732,232
XM	0.00000	6,569,222
YM	0.00024	667,551,857
ZM	0.00000	4,713,608

AN	1.985	55,974,567,611
BN	0.00002	59,062,122
